epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,64.0825,1.2232,4.77286,1.30478,0.01037,0.62116,0.04787,0.02228,1.65801,3.80325,1.85144,0.000415051,0.00013835,0.000415051,0.00013835,0.000415051,0.00013835,0.000415051,0.00013835
2,113.288,1.20069,4.36961,1.26793,0.78438,0.02932,0.12326,0.06042,1.54298,3.38875,1.69748,0.000815577,0.000271859,0.000815577,0.000271859,0.000815577,0.000271859,0.000815577,0.000271859
3,159.546,1.20836,3.49018,1.26841,0.65334,0.23286,0.26509,0.14124,1.53746,2.46994,1.63217,0.00119959,0.000399863,0.00119959,0.000399863,0.00119959,0.000399863,0.00119959,0.000399863
4,204.532,1.16975,2.72727,1.23467,0.73799,0.32199,0.37321,0.20242,1.48346,2.21682,1.57769,0.00117669,0.00039223,0.00117669,0.00039223,0.00117669,0.00039223,0.00117669,0.00039223
5,249.553,1.12741,2.31397,1.19656,0.8097,0.38533,0.4696,0.27012,1.46926,2.06017,1.53604,0.00115192,0.000383974,0.00115192,0.000383974,0.00115192,0.000383974,0.00115192,0.000383974
6,294.622,1.11394,2.06857,1.17916,0.76483,0.45163,0.57743,0.32823,1.44433,1.65975,1.49442,0.00112715,0.000375717,0.00112715,0.000375717,0.00112715,0.000375717,0.00112715,0.000375717
7,339.716,1.09969,1.87513,1.16626,0.62577,0.5604,0.63063,0.35343,1.47358,1.56594,1.51589,0.00110238,0.00036746,0.00110238,0.00036746,0.00110238,0.00036746,0.00110238,0.00036746
8,384.479,1.05479,1.72765,1.13487,0.60664,0.65158,0.71846,0.40322,1.48121,1.42918,1.49181,0.00107761,0.000359204,0.00107761,0.000359204,0.00107761,0.000359204,0.00107761,0.000359204
9,429.382,1.05891,1.66094,1.13552,0.67827,0.73646,0.72173,0.41841,1.45135,1.27672,1.46674,0.00105284,0.000350947,0.00105284,0.000350947,0.00105284,0.000350947,0.00105284,0.000350947
10,474.253,1.05577,1.60887,1.13005,0.78022,0.70233,0.78856,0.43518,1.45873,1.23932,1.47326,0.00102807,0.000342691,0.00102807,0.000342691,0.00102807,0.000342691,0.00102807,0.000342691
11,519.421,1.03498,1.53359,1.12227,0.77471,0.71494,0.78745,0.43862,1.50132,1.18614,1.51419,0.0010033,0.000334434,0.0010033,0.000334434,0.0010033,0.000334434,0.0010033,0.000334434
