epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,161.599,1.38652,5.34057,1.63189,0.52827,0.0963,0.08667,0.03682,1.73049,3.97007,2.33651,0.000415051,0.00013835,0.000415051,0.00013835,0.000415051,0.00013835,0.000415051,0.00013835
2,291.569,1.26289,3.00548,1.46351,0.40174,0.38381,0.37165,0.19635,1.64349,2.14194,2.02108,0.000815577,0.000271859,0.000815577,0.000271859,0.000815577,0.000271859,0.000815577,0.000271859
3,411.113,1.15908,1.83077,1.33635,0.65918,0.65905,0.66258,0.35458,1.5814,1.31149,1.91021,0.00119959,0.000399863,0.00119959,0.000399863,0.00119959,0.000399863,0.00119959,0.000399863
4,526.274,1.10554,1.35704,1.29366,0.76657,0.6754,0.75342,0.4333,1.5117,1.04748,1.7905,0.00117669,0.00039223,0.00117669,0.00039223,0.00117669,0.00039223,0.00117669,0.00039223
5,641.912,1.06145,1.07879,1.2647,0.67646,0.75278,0.7624,0.45262,1.45893,0.96151,1.73782,0.00115192,0.000383974,0.00115192,0.000383974,0.00115192,0.000383974,0.00115192,0.000383974
6,756.937,1.05657,0.97323,1.25664,0.77288,0.76759,0.80559,0.47157,1.38088,0.89381,1.68927,0.00112715,0.000375717,0.00112715,0.000375717,0.00112715,0.000375717,0.00112715,0.000375717
7,872.576,1.04065,0.89986,1.23415,0.87242,0.75642,0.84634,0.50867,1.42621,0.83025,1.71061,0.00110238,0.00036746,0.00110238,0.00036746,0.00110238,0.00036746,0.00110238,0.00036746
8,988.102,0.99752,0.81212,1.20917,0.85528,0.77059,0.86173,0.51523,1.43609,0.75965,1.71582,0.00107761,0.000359204,0.00107761,0.000359204,0.00107761,0.000359204,0.00107761,0.000359204
9,1103.64,0.99535,0.78172,1.19952,0.89653,0.84883,0.91634,0.53402,1.43894,0.70199,1.72713,0.00105284,0.000350947,0.00105284,0.000350947,0.00105284,0.000350947,0.00105284,0.000350947
10,1218.92,0.97868,0.75087,1.19036,0.85927,0.82951,0.86819,0.49702,1.4158,0.74731,1.71146,0.00102807,0.000342691,0.00102807,0.000342691,0.00102807,0.000342691,0.00102807,0.000342691
11,1334.5,0.96296,0.70038,1.18119,0.89857,0.81753,0.89348,0.53582,1.39483,0.7224,1.71387,0.0010033,0.000334434,0.0010033,0.000334434,0.0010033,0.000334434,0.0010033,0.000334434
12,1449.56,0.96308,0.69577,1.18225,0.88217,0.82039,0.88015,0.55369,1.36967,0.64546,1.70182,0.000978532,0.000326177,0.000978532,0.000326177,0.000978532,0.000326177,0.000978532,0.000326177
13,1565.18,0.93838,0.67279,1.16048,0.88797,0.85357,0.89673,0.53035,1.4435,0.65105,1.75096,0.000953762,0.000317921,0.000953762,0.000317921,0.000953762,0.000317921,0.000953762,0.000317921
14,1680.24,0.93475,0.64951,1.16689,0.88955,0.82409,0.88808,0.55073,1.3888,0.62118,1.72757,0.000928993,0.000309664,0.000928993,0.000309664,0.000928993,0.000309664,0.000928993,0.000309664
15,1795.73,0.91593,0.61635,1.15655,0.84127,0.8047,0.86638,0.53634,1.38197,0.63131,1.71193,0.000904223,0.000301408,0.000904223,0.000301408,0.000904223,0.000301408,0.000904223,0.000301408
16,1911,0.91976,0.62113,1.16191,0.90609,0.83396,0.89085,0.56273,1.34499,0.64977,1.69686,0.000879453,0.000293151,0.000879453,0.000293151,0.000879453,0.000293151,0.000879453,0.000293151
17,2026.85,0.90601,0.60387,1.15114,0.82672,0.83999,0.87623,0.54081,1.39508,0.63191,1.72717,0.000854683,0.000284894,0.000854683,0.000284894,0.000854683,0.000284894,0.000854683,0.000284894
18,2141.94,0.90129,0.58678,1.14852,0.91454,0.77222,0.87138,0.54346,1.41929,0.62994,1.74054,0.000829913,0.000276638,0.000829913,0.000276638,0.000829913,0.000276638,0.000829913,0.000276638
19,2257.79,0.89889,0.57641,1.1426,0.89082,0.81758,0.89119,0.56762,1.38311,0.62184,1.7041,0.000805144,0.000268381,0.000805144,0.000268381,0.000805144,0.000268381,0.000805144,0.000268381
20,2373.14,0.87983,0.55741,1.13659,0.93034,0.8666,0.90824,0.54969,1.44028,0.58251,1.78213,0.000780374,0.000260125,0.000780374,0.000260125,0.000780374,0.000260125,0.000780374,0.000260125
21,2489.04,0.87671,0.56217,1.13307,0.90391,0.87232,0.89145,0.55113,1.43975,0.5977,1.76411,0.000755604,0.000251868,0.000755604,0.000251868,0.000755604,0.000251868,0.000755604,0.000251868
22,2604.43,0.8744,0.56355,1.12372,0.88611,0.86993,0.89588,0.55117,1.41737,0.54551,1.77253,0.000730834,0.000243611,0.000730834,0.000243611,0.000730834,0.000243611,0.000730834,0.000243611
23,2720.29,0.86537,0.52799,1.1177,0.88797,0.91551,0.90432,0.54123,1.45929,0.56318,1.81287,0.000706064,0.000235355,0.000706064,0.000235355,0.000706064,0.000235355,0.000706064,0.000235355
24,2835.77,0.85749,0.5398,1.12106,0.93692,0.85611,0.89419,0.54266,1.44367,0.54341,1.81378,0.000681295,0.000227098,0.000681295,0.000227098,0.000681295,0.000227098,0.000681295,0.000227098
25,2951.87,0.86652,0.5436,1.12449,0.92878,0.82204,0.87741,0.54331,1.39881,0.59174,1.75535,0.000656525,0.000218842,0.000656525,0.000218842,0.000656525,0.000218842,0.000656525,0.000218842
26,3067.19,0.856,0.52846,1.11176,0.92317,0.84701,0.89309,0.54468,1.46335,0.59764,1.81385,0.000631755,0.000210585,0.000631755,0.000210585,0.000631755,0.000210585,0.000631755,0.000210585
27,3182.97,0.84083,0.51211,1.11502,0.91536,0.85105,0.88953,0.53724,1.43905,0.57299,1.80174,0.000606985,0.000202328,0.000606985,0.000202328,0.000606985,0.000202328,0.000606985,0.000202328
28,3298.1,0.83032,0.50823,1.09934,0.90215,0.80433,0.86843,0.53395,1.43798,0.60693,1.83463,0.000582215,0.000194072,0.000582215,0.000194072,0.000582215,0.000194072,0.000582215,0.000194072
29,3413.87,0.82476,0.49602,1.09395,0.88874,0.8428,0.87654,0.53636,1.47033,0.57701,1.85103,0.000557446,0.000185815,0.000557446,0.000185815,0.000557446,0.000185815,0.000557446,0.000185815
30,3529.13,0.82549,0.50048,1.09402,0.90004,0.8911,0.88325,0.55251,1.40495,0.53991,1.81534,0.000532676,0.000177559,0.000532676,0.000177559,0.000532676,0.000177559,0.000532676,0.000177559
31,3645,0.81742,0.48326,1.09608,0.91306,0.87365,0.88698,0.55983,1.39565,0.53819,1.79346,0.000507906,0.000169302,0.000507906,0.000169302,0.000507906,0.000169302,0.000507906,0.000169302
32,3760.41,0.82137,0.48819,1.09592,0.89501,0.83706,0.88043,0.56747,1.41283,0.5417,1.80685,0.000483136,0.000161045,0.000483136,0.000161045,0.000483136,0.000161045,0.000483136,0.000161045
33,3876.16,0.80866,0.48397,1.08568,0.9284,0.85738,0.89001,0.55619,1.46472,0.54709,1.85956,0.000458366,0.000152789,0.000458366,0.000152789,0.000458366,0.000152789,0.000458366,0.000152789
34,3991.56,0.80062,0.47674,1.08906,0.91158,0.87135,0.87878,0.54377,1.43506,0.55974,1.8384,0.000433597,0.000144532,0.000433597,0.000144532,0.000433597,0.000144532,0.000433597,0.000144532
35,4107.3,0.80897,0.47933,1.08466,0.91466,0.89309,0.88429,0.55052,1.42773,0.55819,1.82016,0.000408827,0.000136276,0.000408827,0.000136276,0.000408827,0.000136276,0.000408827,0.000136276
36,4222.76,0.79001,0.45794,1.07572,0.95968,0.85303,0.90242,0.55511,1.45235,0.53239,1.88819,0.000384057,0.000128019,0.000384057,0.000128019,0.000384057,0.000128019,0.000384057,0.000128019
37,4338.56,0.79018,0.45842,1.08059,0.91016,0.87672,0.89144,0.55233,1.45776,0.55841,1.86516,0.000359287,0.000119762,0.000359287,0.000119762,0.000359287,0.000119762,0.000359287,0.000119762
38,4454.07,0.78502,0.45026,1.07794,0.89631,0.87624,0.89462,0.54808,1.45865,0.56113,1.87032,0.000334517,0.000111506,0.000334517,0.000111506,0.000334517,0.000111506,0.000334517,0.000111506
39,4570.02,0.78653,0.46062,1.07202,0.92553,0.87741,0.89774,0.56526,1.43083,0.53149,1.85346,0.000309748,0.000103249,0.000309748,0.000103249,0.000309748,0.000103249,0.000309748,0.000103249
40,4685.55,0.77746,0.46442,1.07286,0.92675,0.87965,0.89711,0.56721,1.4433,0.55115,1.86903,0.000284978,9.49926e-05,0.000284978,9.49926e-05,0.000284978,9.49926e-05,0.000284978,9.49926e-05
41,4803.78,0.76672,0.42198,1.08408,0.89555,0.86969,0.88793,0.53215,1.48946,0.58857,1.92105,0.000260208,8.6736e-05,0.000260208,8.6736e-05,0.000260208,8.6736e-05,0.000260208,8.6736e-05
42,4919.82,0.74539,0.3908,1.06876,0.93011,0.85185,0.8746,0.53172,1.47042,0.57051,1.90444,0.000235438,7.84794e-05,0.000235438,7.84794e-05,0.000235438,7.84794e-05,0.000235438,7.84794e-05
43,5036.11,0.73628,0.38385,1.06274,0.92281,0.85584,0.88688,0.5353,1.45641,0.57354,1.89067,0.000210668,7.02228e-05,0.000210668,7.02228e-05,0.000210668,7.02228e-05,0.000210668,7.02228e-05
44,5151.96,0.72878,0.37881,1.05904,0.91401,0.85492,0.88513,0.54503,1.47683,0.58803,1.90118,0.000185899,6.19662e-05,0.000185899,6.19662e-05,0.000185899,6.19662e-05,0.000185899,6.19662e-05
45,5268.1,0.72157,0.37188,1.05472,0.91093,0.87297,0.88493,0.54221,1.45945,0.5816,1.88622,0.000161129,5.37096e-05,0.000161129,5.37096e-05,0.000161129,5.37096e-05,0.000161129,5.37096e-05
